	SubjectID1	SubjectID2	Group1	Group2	Distance
57	6519888d.bb69.495b.b4b8.07d0d4333455	fa2e9bcc.cc53.4b83.ad1e.a308375854f5	fmt-material	swab	0.6636639229462219
58	6519888d.bb69.495b.b4b8.07d0d4333455	b1e40907.45fc.4d81.ad81.c58ed3d91e1f	fmt-material	swab	0.6879492527308635
59	6519888d.bb69.495b.b4b8.07d0d4333455	c784e063.e586.43cb.a602.9f2e2ae420d1	fmt-material	swab	0.6645913358849697
60	6519888d.bb69.495b.b4b8.07d0d4333455	104e5902.1c3e.417f.bb22.124bfca61a61	fmt-material	swab	0.6512361050407874
61	6519888d.bb69.495b.b4b8.07d0d4333455	7c66ff62.02e7.458d.a55d.8d07d15a9315	fmt-material	swab	0.6654560633713337
62	6519888d.bb69.495b.b4b8.07d0d4333455	0bb5e24a.aa34.48e7.b1f9.e761ac2dc6b4	fmt-material	swab	0.6453982611109318
63	6519888d.bb69.495b.b4b8.07d0d4333455	b447da2d.f44f.4ced.ab9e.b560736484fb	fmt-material	swab	0.6652755444172931
64	6519888d.bb69.495b.b4b8.07d0d4333455	60345a80.4df2.4a0b.b7af.e2370c607aec	fmt-material	swab	0.6346055968300278
65	6519888d.bb69.495b.b4b8.07d0d4333455	44ef59fb.3279.46dc.a113.c762aa889eb5	fmt-material	swab	0.6194976718230714
66	6519888d.bb69.495b.b4b8.07d0d4333455	21a4ec1a.bcae.4e10.be82.66328d2dad4f	fmt-material	swab	0.603465841628124
67	6519888d.bb69.495b.b4b8.07d0d4333455	aef9e193.1f8c.429e.bfdf.38bb59235e7d	fmt-material	swab	0.6643530941719273
68	6519888d.bb69.495b.b4b8.07d0d4333455	1fe57dd4.58b3.4fde.b8a1.f73db5614909	fmt-material	swab	0.6355575516263776
69	6519888d.bb69.495b.b4b8.07d0d4333455	e6dcb4be.68c0.473f.a9cb.412345eeb749	fmt-material	swab	0.7468288041690603
70	6519888d.bb69.495b.b4b8.07d0d4333455	633bc9a7.b25f.475a.9bd3.858212b39d7d	fmt-material	swab	0.5746082814330568
